"","V1","V2","V3","V4","V5","V6","V7","V8"
"4078","I",0.55,0.435,0.125,0.741,0.348,0.1585,0.206
"4079","M",0.55,0.43,0.18,0.8265,0.4405,0.159,0.225
"4080","M",0.55,0.385,0.13,0.7275,0.343,0.1625,0.19
"4081","I",0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095
"4082","M",0.56,0.45,0.145,0.9355,0.425,0.1645,0.2725
"4083","I",0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095
"4084","M",0.57,0.445,0.16,1.0145,0.516,0.164,0.3
"4085","F",0.575,0.48,0.17,1.1,0.506,0.2485,0.31
"4086","M",0.585,0.51,0.16,1.218,0.639,0.241,0.3
"4087","M",0.59,0.45,0.155,0.874,0.369,0.2135,0.24
"4088","I",0.595,0.475,0.155,0.984,0.4865,0.184,0.2755
"4089","M",0.6,0.47,0.13,1.0105,0.423,0.219,0.298
"4090","M",0.61,0.365,0.155,1.0765,0.488,0.249,0.27
"4091","M",0.615,0.475,0.205,1.337,0.5995,0.2815,0.37
"4092","M",0.625,0.5,0.18,1.3705,0.645,0.303,0.3705
"4093","F",0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855
"4094","M",0.63,0.485,0.18,1.2435,0.5175,0.308,0.37
"4095","M",0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555
"4096","F",0.635,0.485,0.155,1.073,0.467,0.1975,0.35
"4097","F",0.635,0.5,0.175,1.477,0.684,0.3005,0.39
"4098","M",0.635,0.5,0.18,1.2915,0.594,0.2695,0.37
"4099","F",0.65,0.495,0.16,1.3105,0.577,0.3315,0.355
"4100","M",0.67,0.525,0.18,1.4915,0.728,0.343,0.381
"4101","F",0.675,0.52,0.175,1.494,0.7365,0.3055,0.37
"4102","F",0.675,0.51,0.15,1.1965,0.475,0.304,0.386
"4103","M",0.68,0.545,0.185,1.672,0.7075,0.364,0.48
"4104","M",0.7,0.545,0.215,1.9125,0.8825,0.4385,0.506
"4105","F",0.71,0.545,0.175,1.907,0.8725,0.4565,0.475
"4106","F",0.715,0.565,0.18,1.79,0.844,0.3535,0.5385
"4107","F",0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48
"4108","I",0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086
"4109","I",0.48,0.35,0.1,0.519,0.2365,0.1275,0.126
"4110","M",0.48,0.365,0.13,0.5305,0.2405,0.127,0.139
"4111","M",0.51,0.41,0.155,1.2825,0.569,0.291,0.3795
"4112","I",0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785
"4113","F",0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525
"4114","I",0.56,0.42,0.14,0.837,0.414,0.214,0.2
"4115","F",0.57,0.45,0.15,0.9645,0.531,0.189,0.209
"4116","F",0.605,0.465,0.155,1.1,0.547,0.2665,0.2585
"4117","M",0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2785
"4118","F",0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315
"4119","M",0.65,0.525,0.185,1.3455,0.586,0.278,0.3865
"4120","I",0.3,0.215,0.05,0.1185,0.048,0.0225,0.042
"4121","M",0.35,0.265,0.09,0.197,0.073,0.0365,0.077
"4122","I",0.455,0.35,0.13,0.4725,0.215,0.0745,0.15
"4123","I",0.46,0.365,0.11,0.4495,0.1755,0.102,0.15
"4124","I",0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765
"4125","I",0.5,0.385,0.12,0.516,0.197,0.1305,0.165
"4126","I",0.54,0.415,0.135,0.709,0.3195,0.174,0.185
"4127","M",0.55,0.42,0.145,0.7385,0.321,0.1485,0.252
"4128","I",0.55,0.445,0.11,0.7935,0.378,0.142,0.26
"4129","M",0.555,0.435,0.145,0.9205,0.404,0.2275,0.255
"4130","I",0.57,0.425,0.14,0.7655,0.331,0.14,0.24
"4131","M",0.58,0.45,0.14,0.824,0.3465,0.1765,0.263
"4132","I",0.58,0.425,0.145,0.83,0.379,0.1605,0.2575
"4133","I",0.585,0.47,0.17,0.985,0.3695,0.2395,0.315
"4134","M",0.585,0.45,0.15,0.997,0.4055,0.283,0.251
"4135","F",0.595,0.455,0.14,0.914,0.3895,0.2225,0.271
"4136","F",0.6,0.5,0.17,1.13,0.4405,0.267,0.335
"4137","F",0.615,0.495,0.155,1.0805,0.52,0.19,0.32
"4138","M",0.63,0.505,0.155,1.105,0.492,0.226,0.325
"4139","M",0.63,0.49,0.155,1.229,0.535,0.29,0.335
"4140","F",0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347
"4141","F",0.645,0.535,0.19,1.2395,0.468,0.2385,0.424
"4142","F",0.65,0.505,0.165,1.357,0.5725,0.281,0.43
"4143","M",0.655,0.525,0.18,1.402,0.624,0.2935,0.365
"4144","F",0.655,0.5,0.22,1.359,0.642,0.3255,0.405
"4145","M",0.67,0.535,0.19,1.669,0.7465,0.2935,0.508
"4146","M",0.67,0.525,0.2,1.7405,0.6205,0.297,0.657
"4147","M",0.695,0.53,0.21,1.51,0.664,0.4095,0.385
"4148","M",0.695,0.55,0.195,1.6645,0.727,0.36,0.445
"4149","M",0.77,0.605,0.175,2.0505,0.8005,0.526,0.355
"4150","I",0.28,0.215,0.07,0.124,0.063,0.0215,0.03
"4151","I",0.33,0.23,0.08,0.14,0.0565,0.0365,0.046
"4152","I",0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041
"4153","I",0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615
"4154","I",0.43,0.315,0.115,0.384,0.1885,0.0715,0.11
"4155","I",0.435,0.33,0.095,0.393,0.219,0.075,0.0885
"4156","I",0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115
"4157","M",0.475,0.37,0.11,0.4895,0.2185,0.107,0.146
"4158","M",0.475,0.36,0.14,0.5135,0.241,0.1045,0.155
"4159","I",0.48,0.355,0.11,0.4495,0.201,0.089,0.14
"4160","F",0.56,0.44,0.135,0.8025,0.35,0.1615,0.259
"4161","F",0.585,0.475,0.165,1.053,0.458,0.217,0.3
"4162","F",0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845
"4163","M",0.385,0.255,0.1,0.3175,0.137,0.068,0.092
"4164","I",0.39,0.31,0.085,0.344,0.181,0.0695,0.079
"4165","I",0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081
"4166","I",0.405,0.3,0.085,0.3035,0.15,0.0505,0.088
"4167","I",0.475,0.365,0.115,0.499,0.232,0.0885,0.156
"4168","M",0.5,0.38,0.125,0.577,0.269,0.1265,0.1535
"4169","F",0.515,0.4,0.125,0.615,0.2865,0.123,0.1765
"4170","M",0.52,0.385,0.165,0.791,0.375,0.18,0.1815
"4171","M",0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405
"4172","M",0.56,0.43,0.155,0.8675,0.4,0.172,0.229
"4173","F",0.565,0.45,0.165,0.887,0.37,0.239,0.249
"4174","M",0.59,0.44,0.135,0.966,0.439,0.2145,0.2605
"4175","M",0.6,0.475,0.205,1.176,0.5255,0.2875,0.308
"4176","F",0.625,0.485,0.15,1.0945,0.531,0.261,0.296
"4177","M",0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495
